VARA,Casos Novos 2024,Prazo inicial/conc,Prazo una,Prazo instruções
Araranguá - 01a Vara,1.184 ,45,60,90
Balneário Camboriú - 01a Vara,1.591 ,60,120,150
Balneário Camboriú - 02a Vara,1.561 ,60,120,150
Blumenau - 01a Vara,1.122 ,45,60,90
Blumenau - 02a Vara,1.130 ,45,60,90
Blumenau - 03a Vara,1.123 ,45,60,90
Blumenau - 04a Vara,1.078 ,45,60,90
Brusque - 01a Vara,1.180 ,45,60,90
Brusque - 02a Vara,1.207 ,45,60,90
Caçador - 01a Vara,1.309 ,45,90,120
Canoinhas - 01a Vara,1.020 ,45,60,90
Chapecó - 01a Vara,1.831 ,60,120,150
Chapecó - 02a Vara,1.844 ,60,120,150
Chapecó - 03a Vara,1.839 ,60,120,150
Chapecó - 04a Vara,1.838 ,60,120,150
Concórdia - 01a Vara,2.107 ,60,120,180
Criciúma - 01a Vara,1.344 ,45,90,120
Criciúma - 02a Vara,1.256 ,45,90,120
Criciúma - 04a Vara,(38),30,30,45
Curitibanos - 01a Vara,1.352 ,45,90,120
Florianópolis - 01a Vara,878 ,30,45,60
Florianópolis - 02a Vara,1.144 ,45,60,90
Florianópolis - 03a Vara,1.113 ,45,60,90
Florianópolis - 04a Vara,1.122 ,45,60,90
Florianópolis - 05a Vara,1.090 ,45,60,90
Florianópolis - 06a Vara,1.105 ,45,60,90
Florianópolis - 07a Vara,1.093 ,45,60,90
Fraiburgo - 01a Vara,1.147 ,45,60,90
Imbituba - 01a Vara,1.001 ,45,60,90
Indaial - 01a Vara,1.008 ,45,60,90
Itajaí - 01a Vara,650 ,30,30,45
Itajaí - 02a Vara,1.749 ,60,120,150
Itajaí - 03a Vara,1.744 ,60,120,150
Itapema - 01a Vara,1.743 ,60,120,150
Jaraguá do Sul - 01a Vara,2.342 ,60,120,180
Jaraguá do Sul - 02a Vara,1.380 ,45,90,120
Joaçaba - 01a Vara,1.360 ,45,90,120
Joinville - 01a Vara,1.540 ,60,120,150
Joinville - 02a Vara,1.923 ,60,120,150
Joinville - 03a Vara,1.951 ,60,120,150
Joinville - 04a Vara,1.900 ,60,120,150
Joinville - 05a Vara,1.925 ,60,120,150
Lages - 01a Vara,1.929 ,60,120,150
Lages - 02a Vara,893 ,30,45,60
Lages - 03a Vara,925 ,30,45,60
Mafra - 01a Vara,839 ,30,45,60
Navegantes - 01a Vara,1.187 ,45,60,90
Palhoça - 01a Vara,2.161 ,60,120,180
Rio do Sul - 01a Vara,2.276 ,60,120,180
Rio do Sul - 02a Vara,1.677 ,60,120,150
São Bento do Sul - 01a Vara,1.642 ,60,120,150
São José - 01a Vara,1.244 ,45,60,90
São José - 02a Vara,1.525 ,60,120,150
São José - 03a Vara,1.476 ,45,90,120
São Miguel do Oeste - 01a Vara,1.493 ,45,90,120
Timbó - 01a Vara,1.531 ,60,120,150
Tubarão - 01a Vara,654 ,30,30,45
Tubarão - 02a Vara,1.189 ,45,60,90
Videira - 01a Vara,1.164 ,45,60,90
Xanxerê - 01a Vara,2.444 ,60,120,180